,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
2953,1924-11-17,College of the Holy Cross,1949 BAA Draft,3rd roun,Boston Celtics,,Joe Mullaney
2954,1922-11-01,Fordham University,,,,,Bob Mullens
2955,1989-02-14,Ohio State University,24th overall,1st round,Dallas Mavericks,2009,Byron Mullens
2956,1963-07-30,St. John's University,7th overall,1st round,Golden State Warriors,1985,Chris Mullin
2957,1942-03-18,Duke University,5th overall,1st round,St. Louis Hawks,1964,Jeff Mullins
2958,1970-05-17,"University of Memphis, Delta State University",,,,,Todd Mundt
2959,1992-06-01,University of Rhode Island,,,,,Xavier Munford
2960,1967-08-05,University of Southern California,,,,,Chris Munk
2961,1922-01-05,Dartmouth College,,,,,George Munroe
2962,1968-06-14,Providence College,21st overall,1st round,Utah Jazz,1991,Eric Murdock
2963,1971-02-14,,30th overall,2nd round,Washington Bullets,1993,Gheorghe Muresan
2964,1952-07-15,University of Louisville,35th overall,2nd round,Phoenix Suns,1975,Allen Murphy
2965,1948-05-09,Niagara University,18th overall,2nd round,San Diego Rockets,1970,Calvin Murphy
2966,1921-03-10,Manhattan College,,,,,Dick Murphy
2967,1990-10-26,University of Florida,49th overall,2nd round,Chicago Bulls,2013,Erik Murphy
2968,1962-06-26,Boston College,31st overall,2nd round,Golden State Warriors,1984,Jay Murphy
2969,1924-09-13,,,,,,John Murphy
2970,1990-03-06,Tennessee Technological University,47th overall,2nd round,Utah Jazz,2012,Kevin Murphy
2971,1964-07-29,Jacksonville University,17th overall,1st round,Portland Trail Blazers,1987,Ronnie Murphy
2972,1963-12-24,"University of California, Irvine",53rd overall,3rd round,Seattle SuperSonics,1986,Tod Murphy
2973,1980-05-02,University of Notre Dame,14th overall,1st round,Golden State Warriors,2001,Troy Murphy
2974,1996-09-19,University of Washington,29th overall,1st round,San Antonio Spurs,2016,Dejounte Murray
2975,1997-02-23,University of Kentucky,7th overall,1st round,Denver Nuggets,2016,Jamal Murray
2976,1928-04-20,St. Bonaventure University,1950 NBA Draft,4th roun,Chicago Stags,,Ken Murray
2977,1973-04-20,University of California,7th overall,1st round,Los Angeles Clippers,1994,Lamond Murray
2978,1979-07-29,"Meridian Community College, Shaw University",42nd overall,2nd round,Milwaukee Bucks,2002,Ronald Murray
2979,1971-07-25,"University of California, Los Angeles",18th overall,1st round,San Antonio Spurs,1992,Tracy Murray
2980,1941-09-13,Kansas State University,31st overall,4th round,St. Louis Hawks,1964,Willie Murrell
2981,1943-09-07,University of Detroit Mercy,12th overall,2nd round,Detroit Pistons,1966,Dorie Murrey
2982,1989-11-08,Wichita State University,,,,,Toure' Murry
2983,1999-05-08,,29th overall,1st round,Brooklyn Nets,2018,Dzanan Musa
2984,1991-07-01,Bucknell University,44th overall,2nd round,Dallas Mavericks,2013,Mike Muscala
2985,1918-07-25,Temple University,,,,,Angelo Musi
2986,1969-10-28,University of Maryland,17th overall,1st round,New York Knicks,1990,Jerrod Mustaf
2987,1966-06-25,Georgetown University,4th overall,1st round,Denver Nuggets,1991,Dikembe Mutombo
2988,1974-09-26,,25th overall,1st round,Utah Jazz,1996,Martin Muursepp
2989,1963-09-15,University of Arkansas at Little Rock,120th overall,6th round,Chicago Bulls,1986,Pete Myers
2990,1997-06-10,University of Kansas,47th overall,2nd round,Los Angeles Lakers,2018,Sviatoslav Mykhailiuk
2991,1987-01-12,Rutgers University,56th overall,2nd round,Minnesota Timberwolves,2010,Hamady N'Diaye
2992,1973-12-12,"University of Michigan, University of North Carolina",,,,,Makhtar N'Diaye
2993,1975-06-16,Auburn University,26th overall,1st round,Denver Nuggets,2000,Mamadou N'Diaye
2994,1977-03-09,,,,,,Boniface N'Dong
2995,1929-09-03,University of Louisville,,,,,Bob Naber
2996,1933-12-06,New York University,16th overall,2nd round,Rochester Royals,1954,Boris Nachamkin
2997,1980-07-03,,15th overall,1st round,Houston Rockets,2002,Bostjan Nachbar
2998,1993-09-25,"Northern Illinois University, Iowa State University",58th overall,2nd round,Boston Celtics,2016,Abdel Nader
2999,1928-05-18,Loyola University of Chicago,1949 BAA Draft,4th roun,Fort Wayne Pistons,,Jerry Nagel
3000,1924-01-03,University of Akron,,1947 BAA Draf,Pittsburgh Ironmen,,Fritz Nagy
3001,1975-02-22,"Butler County Community College, Texas Christian University",43rd overall,2nd round,Charlotte Hornets,1999,Lee Nailon
3002,1976-07-11,University of Oklahoma,38th overall,2nd round,Houston Rockets,2000,Eduardo Najera
3003,1959-02-12,Clemson University,20th overall,1st round,Phoenix Suns,1981,Larry Nance
3004,1993-01-01,University of Wyoming,27th overall,1st round,Los Angeles Lakers,2015,Larry Nance Jr
3005,1991-07-14,University of Connecticut,24th overall,1st round,Charlotte Hornets,2014,Shabazz Napier
3006,1923-02-03,University of San Francisco,,1947 BAA Draf,St. Louis Bombers,,Paul Napolitano
3007,1950-08-24,University of Hawaii,9th overall,1st round,Detroit Pistons,1972,Bob Nash
3008,1942-07-24,University of Kentucky,12th overall,2nd round,Los Angeles Lakers,1964,Cotton Nash
3009,1974-02-07,Santa Clara University,15th overall,1st round,Phoenix Suns,1996,Steve Nash
3010,1950-01-14,"University of California, Los Angeles",16th overall,1st round,Milwaukee Bucks,1973,Swen Nater
3011,1972-01-21,"DePaul University, University of Louisiana at Monroe",,,,,Howard Nathan
3012,1957-01-08,University of Louisiana at Monroe,8th overall,1st round,New Jersey Nets,1979,Calvin Natt
3013,1958-10-05,University of Louisiana at Monroe,30th overall,2nd round,Indiana Pacers,1980,Kenny Natt
3014,1934-10-07,"University of California, Los Angeles",,1956 NBA Draf,St. Louis Hawks,,Willie Naulls
3015,1980-06-13,,40th overall,2nd round,Washington Wizards,2002,Juan Carlos Navarro
3016,1992-06-18,Ohio University,,,,,Maurice Ndour
3017,1964-02-16,Georgia Institute of Technology,71st overall,3rd round,Portland Trail Blazers,1988,Craig Neal
3018,1984-10-03,"La Salle University, Towson University",,,,,Gary Neal
3019,1930-05-21,Wofford College,6th overall,1st round,Syracuse Nationals,1953,Jim Neal
3020,1950-12-10,Tennessee State University,31st overall,3rd round,Portland Trail Blazers,1972,Lloyd Neal
3021,1960-02-19,Kansas State University,166th overall,8th round,Kansas City Kings,1982,Ed Nealy
3022,1991-06-16,,30th overall,1st round,Phoenix Suns,2013,Nemanja Nedovic
3023,1921-06-12,Seton Hall University,,,,,Al Negratti
3024,1949-09-19,Duquesne University,85th overall,5th round,Milwaukee Bucks,1971,Barry Nelson
3025,1985-11-02,Duke University,,,,,DeMarcus Nelson
3026,1940-05-15,University of Iowa,17th overall,3rd round,Chicago Zephyrs,1962,Don Nelson
3027,1982-02-09,Saint Joseph's University,20th overall,1st round,Denver Nuggets,2004,Jameer Nelson
3028,1951-05-28,University of Washington,19th overall,2nd round,Capital Bullets,1973,Louie Nelson
3029,1946-10-07,University of New Mexico,26th overall,3rd round,Baltimore Bullets,1968,Ron Nelson
3030,1972-02-20,Weber State University,,,,,Ruben Nembhard
3031,1943-10-01,Brigham Young University,44th overall,5th round,St. Louis Hawks,1966,Dick Nemelka
3032,1976-01-31,"University of Nevada, Las Vegas",,,,,Tyrone Nesby
3033,1965-02-16,Duke University,116th overall,6th round,Los Angeles Clippers,1987,Martin Nessley
3034,1976-05-30,,17th overall,1st round,Minnesota Timberwolves,1998,Rasho Nesterovic
3035,1992-05-19,,47th overall,2nd round,Atlanta Hawks,2013,Raul Neto
3036,1942-08-02,Drake University,18th overall,2nd round,San Diego Rockets,1967,Bob Netolicky
3037,1951-09-11,University of Mississippi,98th overall,6th round,Chicago Bulls,1973,Johnny Neumann
3038,1938-01-30,Stanford University,27th overall,4th round,Syracuse Nationals,1959,Paul Neumann
3039,1959-06-13,North Carolina State University,63rd overall,3rd round,Houston Rockets,1982,Chuck Nevitt
3040,1967-06-11,University of Minnesota,,,,,Melvin Newbern
3041,1970-12-12,Georgia Institute of Technology,,,,,Ivano Newbill
3042,1975-01-20,Miami University,,,,,Ira Newble
3043,1949-01-02,University of Utah,24th overall,2nd round,Houston Rockets,1971,Mike Newlin
3044,1963-11-28,University of Richmond,29th overall,2nd round,Cleveland Cavaliers,1986,Johnny Newman
3045,1946-09-11,Columbia University,31st overall,3rd round,Chicago Bulls,1968,Dave Newmark
3046,1950-12-22,Louisiana State University,,,,,Bill Newton
3047,1993-06-17,Iowa State University,50th overall,2nd round,Indiana Pacers,2016,Georges Niang
3048,1984-09-04,Syracuse University,53rd overall,2nd round,Portland Trail Blazers,2007,Demetris Nichols
3049,1926-04-09,University of Washington,12th overall,1st round,Washington Capitols,1948,Jack Nichols
3050,1989-12-08,St. Bonaventure University,19th overall,1st round,Orlando Magic,2012,Andrew Nicholson
3051,1969-02-05,"Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University",34th overall,2nd round,Atlanta Hawks,1994,Gaylon Nickerson
3052,1958-10-06,Indiana State University,23rd overall,1st round,Denver Nuggets,1980,Carl Nicks
3053,1946-07-02,Saint Louis University,42nd overall,4th round,Detroit Pistons,1968,Rich Niemann
3054,1921-05-26,University of Notre Dame,,,,,Richie Niemiera
3055,1955-03-31,"California State University, Fullerton",83rd overall,4th round,Philadelphia 76ers,1979,Mike Niles
3056,1958-03-13,Arizona State University,47th overall,3rd round,Denver Nuggets,1980,Kurt Nimphius
3057,1967-02-11,University of Tennessee,29th overall,2nd round,Charlotte Hornets,1989,Dyron Nix
3058,1955-10-11,Duquesne University,22nd overall,1st round,Los Angeles Lakers,1977,Norm Nixon
3059,1985-02-25,University of Florida,9th overall,1st round,Chicago Bulls,2007,Joakim Noah
3060,1931-07-24,University of Louisville,30th overall,4th round,Philadelphia Warriors,1954,Chuck Noble
3061,1979-11-30,,,,,,Andres Nocioni
3062,1984-02-27,University of North Carolina,39th overall,2nd round,Milwaukee Bucks,2006,David Noel
3063,1994-04-10,University of Kentucky,6th overall,1st round,New Orleans Hornets,2013,Nerlens Noel
3064,1924-08-17,University of Kentucky,,,,,Paul Noel
3065,1992-07-26,,16th overall,1st round,Boston Celtics,2013,Lucas Nogueira
3066,1927-06-09,Georgia Institute of Technology,1949 BAA Draft,2nd roun,Philadelphia Warriors,,Jim Nolan
3067,1929-09-03,Texas Tech University,,1953 NBA Draf,Baltimore Bullets,,Paul Nolen
3068,1973-02-23,University of Wisconsin-Green Bay,53rd overall,2nd round,Milwaukee Bucks,1996,Jeff Nordgaard
3069,1939-12-11,Saint Louis University,25th overall,3rd round,Cincinnati Royals,1961,Bevo Nordmann
3070,1921-03-05,Hamline University,,,,,Johnny Norlander
3071,1953-09-24,University of Arizona,37th overall,3rd round,Philadelphia 76ers,1974,Connie Norman
3072,1964-09-05,University of Illinois at Urbana-Champaign,19th overall,1st round,Los Angeles Clippers,1987,Ken Norman
3073,1960-12-18,Jackson State University,37th overall,2nd round,Portland Trail Blazers,1982,Audie Norris
3074,1973-07-27,"Auburn University, University of West Florida",33rd overall,2nd round,Milwaukee Bucks,1996,Moochie Norris
3075,1957-02-18,Jackson State University,63rd overall,3rd round,San Antonio Spurs,1979,Sylvester Norris
3076,1947-08-08,Alcorn State University,19th overall,2nd round,Detroit Pistons,1969,Willie Norwood
3077,1924-01-25,University of Wyoming,,,,,George Nostrand
3078,1920-09-09,Duquesne University,,,,,Stan Noszka
3079,1915-04-23,Loyola University of Chicago,,,,,Mike Novak
3080,1983-06-13,Marquette University,32nd overall,2nd round,Houston Rockets,2006,Steve Novak
3081,1939-12-27,Ohio State University,90th overall,12th round,Chicago Zephyrs,1962,Mel Nowell
3082,1978-06-19,,9th overall,1st round,Milwaukee Bucks,1998,Dirk Nowitzki
3083,1998-07-28,,8th overall,1st round,New York Knicks,2017,Frank Ntilikina
3084,1990-07-14,"University of California, Santa Barbara",,,,,James Nunnally
3085,1994-08-23,,16th overall,1st round,Chicago Bulls,2014,Jusuf Nurkic
3086,1963-03-25,Texas Christian University,,,,,Dennis Nutt
3087,1993-01-14,"California Polytechnic State University, San Luis Obispo",,,,,David Nwaba
3088,1971-05-01,Liberty University,,,,,Julius Nwosu
3089,1975-02-22,"University of California, Los Angeles",31st overall,2nd round,Detroit Pistons,1997,Charles O'Bannon
3090,1972-08-14,"University of California, Los Angeles",9th overall,1st round,New Jersey Nets,1995,Ed O'Bannon
3091,1928-03-07,Colorado State University,,,,,John O'Boyle
3092,1927-01-26,Pepperdine University,,,,,Bob O'Brien
3093,1992-04-08,San Diego State University,,,,,JJ O'Brien
3094,1951-11-07,University of Maryland,37th overall,3rd round,Cleveland Cavaliers,1973,Jim O'Brien
3095,1950-04-09,Boston College,53rd overall,4th round,Buffalo Braves,1971,Jimmy O'Brien
3096,1928-04-08,Butler University,1950 NBA Draft,6th roun,Indianapolis Olympians,,Ralph O'Brien
3097,1993-06-01,Louisiana State University,36th overall,2nd round,Milwaukee Bucks,2014,Johnny O'Bryant
3098,1986-06-20,Bradley University,9th overall,1st round,Golden State Warriors,2006,Patrick O'Bryant
3099,1928-04-13,College of the Holy Cross,,,,,Dermie O'Connell
3100,1925-03-10,Loyola College in Maryland,,,,,Andy O'Donnell
3101,1920-01-19,Georgetown University,,,,,Buddy O'Grady
3102,1948-08-24,Villanova University,131st overall,8th round,Philadelphia 76ers,1970,Fran O'Hanlon
3103,1923-09-29,Santa Clara University,9th overall,1st round,Washington Capitols,1947,Dick O'Keefe
3104,1928-06-03,Georgetown University,1950 NBA Draft,4th roun,Washington Capitols,,Tommy O'Keefe
3105,1958-02-07,University of North Carolina,6th overall,1st round,New Jersey Nets,1980,Mike O'Koren
3106,1948-04-25,Manhattan College,214th overall,19th round,Atlanta Hawks,1969,Grady O'Malley
3107,1978-10-13,,17th overall,1st round,Portland Trail Blazers,1996,Jermaine O'Neal
3108,1972-03-06,Louisiana State University,1st overall,1st round,Orlando Magic,1992,Shaquille O'Neal
3109,1993-06-05,Baylor University,,,,,Royce O'Neale
3110,,University of California,,,,,Mike O'Neill
3111,1990-03-26,Norfolk State University,49th overall,2nd round,Orlando Magic,2012,Kyle O'Quinn
3112,1925-07-10,University of Notre Dame,10th overall,1st round,Minneapolis Lakers,1950,Kevin O'Shea
3113,1921-05-23,University of Tennessee,,,,,Garland O'Shields
3114,1968-03-03,Fordham University,,,,,Dan O'Sullivan
3115,1963-12-18,Virginia Union University,9th overall,1st round,Cleveland Cavaliers,1985,Charles Oakley
3116,1975-03-21,,,,,,Fabricio Oberto
3117,1993-12-15,Villanova University,,,,,Daniel Ochefu
3118,1988-01-22,Ohio State University,1st overall,1st round,Portland Trail Blazers,2007,Greg Oden
3119,1979-11-06,University of Rhode Island,4th overall,1st round,Los Angeles Clippers,1999,Lamar Odom
3120,1946-12-29,Santa Clara University,162nd overall,13th round,Seattle SuperSonics,1968,Bud Ogden
3121,1948-01-25,Santa Clara University,53rd overall,4th round,San Francisco Warriors,1970,Ralph Ogden
3122,1967-07-05,University of Alabama at Birmingham,,,,,Alan Ogg
3123,1936-04-18,University of Illinois at Urbana-Champaign,36th overall,5th round,Philadelphia Warriors,1958,Don Ohl
3124,1988-08-30,,,,,,Tim Ohlbrecht
3125,1994-12-05,Southern Methodist University,37th overall,2nd round,Boston Celtics,2017,Semi Ojeleye
3126,1982-09-28,University of Connecticut,2nd overall,1st round,Charlotte Bobcats,2004,Emeka Okafor
3127,1995-12-15,Duke University,3rd overall,1st round,Philadelphia 76ers,2015,Jahlil Okafor
3128,1997-10-23,,31st overall,2nd round,Phoenix Suns,2018,Elie Okobo
3129,1998-09-01,Georgia Institute of Technology,20th overall,1st round,Minnesota Timberwolves,2018,Josh Okogie
3130,1979-05-26,,38th overall,2nd round,Detroit Pistons,2001,Mehmet Okur
3131,1992-05-04,Indiana University,2nd overall,1st round,Orlando Magic,2013,Victor Oladipo
3132,1963-01-21,University of Houston,1st overall,1st round,Houston Rockets,1984,Hakeem Olajuwon
3133,1956-04-21,University of Minnesota,,,,,Mark Olberding
3134,1957-07-04,Seattle University,41st overall,2nd round,Denver Nuggets,1980,Jawann Oldham
3135,1923-06-22,Western Kentucky University,1949 BAA Draft,2nd roun,Fort Wayne Pistons,,John Oldham
3136,1955-02-20,Seattle University,12th overall,1st round,Seattle SuperSonics,1975,Frank Oleynick
3137,1955-03-01,Villanova University,168th overall,8th round,Philadelphia 76ers,1977,John Olive
3138,1968-06-01,Georgia Institute of Technology,32nd overall,2nd round,Philadelphia 76ers,1990,Brian Oliver
3139,1978-11-05,University of Iowa,,,,,Dean Oliver
3140,1969-07-12,Purdue University,39th overall,2nd round,Cleveland Cavaliers,1991,Jimmy Oliver
3141,1972-12-27,University of Connecticut,,,,,Kevin Ollie
3142,1922-06-30,Drake University,,,,,Gene Ollrich
3143,1975-04-03,University of the Pacific,1st overall,1st round,Los Angeles Clippers,1998,Michael Olowokandi
3144,1940-07-25,University of Louisville,13th overall,2nd round,Cincinnati Royals,1962,Bud Olsen
